symbol,datetime,date,time,open,high,low,close,volume
UMC,2025-12-22 09:45:00,2025-12-22,09:45:00,8.1,8.1399,8.1,8.125,107493
UMC,2025-12-22 09:50:00,2025-12-22,09:50:00,8.119999,8.137499,8.109999,8.135,75264
UMC,2025-12-22 09:55:00,2025-12-22,09:55:00,8.135,8.14,8.119999,8.13,61508
UMC,2025-12-22 10:00:00,2025-12-22,10:00:00,8.135,8.145,8.114999,8.125,132316
SUUN,2025-12-22 09:30:00,2025-12-22,09:30:00,1.669999,1.679299,1.59,1.59,208371
SUUN,2025-12-22 09:35:00,2025-12-22,09:35:00,1.58,1.669999,1.58,1.6,12834
SUUN,2025-12-22 09:40:00,2025-12-22,09:40:00,1.667999,1.667999,1.59,1.629999,60328
SUUN,2025-12-22 09:45:00,2025-12-22,09:45:00,1.61,1.669999,1.61,1.6426,62488
SUUN,2025-12-22 09:50:00,2025-12-22,09:50:00,1.677999,1.73,1.639999,1.7,98049
SUUN,2025-12-22 09:55:00,2025-12-22,09:55:00,1.682999,1.69,1.644999,1.659899,338275
SUUN,2025-12-22 10:00:00,2025-12-22,10:00:00,1.659899,1.679999,1.629999,1.669999,101890
ATAI,2025-12-22 09:30:00,2025-12-22,09:30:00,4.0,4.0468,3.98,4.034999,64605
ATAI,2025-12-22 09:35:00,2025-12-22,09:35:00,4.034999,4.079999,4.019999,4.019999,28857
ATAI,2025-12-22 09:40:00,2025-12-22,09:40:00,4.014999,4.034999,3.98,4.034999,34307
ATAI,2025-12-22 09:45:00,2025-12-22,09:45:00,4.034999,4.0899,4.03,4.07,25914
ATAI,2025-12-22 09:50:00,2025-12-22,09:50:00,4.077,4.0899,4.065,4.079999,60357
ATAI,2025-12-22 09:55:00,2025-12-22,09:55:00,4.0801,4.11,4.074999,4.11,77489
ATAI,2025-12-22 10:00:00,2025-12-22,10:00:00,4.11,4.17,4.11,4.155,63334
GORO,2025-12-22 09:30:00,2025-12-22,09:30:00,0.91,0.915499,0.899999,0.900799,315091
GORO,2025-12-22 09:35:00,2025-12-22,09:35:00,0.900799,0.959999,0.900799,0.915799,504107
GORO,2025-12-22 09:40:00,2025-12-22,09:40:00,0.940199,0.958,0.9386,0.95485,32687
GORO,2025-12-22 09:45:00,2025-12-22,09:45:00,0.958,0.959999,0.901,0.93535,286807
GORO,2025-12-22 09:50:00,2025-12-22,09:50:00,0.9354,0.958,0.9354,0.9361,24207
GORO,2025-12-22 09:55:00,2025-12-22,09:55:00,0.9361,0.948899,0.935599,0.9429,35244
GORO,2025-12-22 10:00:00,2025-12-22,10:00:00,0.9445,0.948899,0.934899,0.9394,44168
MREO,2025-12-22 09:30:00,2025-12-22,09:30:00,2.069999,2.16,2.069999,2.154999,180128
MREO,2025-12-22 09:35:00,2025-12-22,09:35:00,2.154999,2.17,2.111299,2.15,257648
MREO,2025-12-22 09:40:00,2025-12-22,09:40:00,2.154999,2.154999,2.119999,2.13,12956
MREO,2025-12-22 09:45:00,2025-12-22,09:45:00,2.119999,2.15,2.109999,2.144999,58592
MREO,2025-12-22 09:50:00,2025-12-22,09:50:00,2.149899,2.15,2.134299,2.15,220890
MREO,2025-12-22 09:55:00,2025-12-22,09:55:00,2.154999,2.18,2.154999,2.154999,284061
MREO,2025-12-22 10:00:00,2025-12-22,10:00:00,2.150099,2.16,2.150099,2.154999,333428
GOSS,2025-12-22 09:30:00,2025-12-22,09:30:00,3.515,3.525,3.47,3.509999,113724
GOSS,2025-12-22 09:35:00,2025-12-22,09:35:00,3.49,3.525,3.43,3.434999,33476
GOSS,2025-12-22 09:40:00,2025-12-22,09:40:00,3.44,3.4697,3.44,3.4514,21327
GOSS,2025-12-22 09:45:00,2025-12-22,09:45:00,3.4593,3.4986,3.444999,3.46,37059
GOSS,2025-12-22 09:50:00,2025-12-22,09:50:00,3.444999,3.46,3.444999,3.46,15580
GOSS,2025-12-22 09:55:00,2025-12-22,09:55:00,3.464999,3.539999,3.464999,3.535,32914
GOSS,2025-12-22 10:00:00,2025-12-22,10:00:00,3.535,3.605,3.535,3.589999,66954
CCO,2025-12-22 09:30:00,2025-12-22,09:30:00,2.039999,2.049999,2.039999,2.049999,86074
CCO,2025-12-22 09:35:00,2025-12-22,09:35:00,2.041199,2.069999,2.041199,2.059999,50895
CCO,2025-12-22 09:40:00,2025-12-22,09:40:00,2.059999,2.069999,2.059999,2.069999,15511
CCO,2025-12-22 09:45:00,2025-12-22,09:45:00,2.072,2.075,2.069999,2.075,12291
CCO,2025-12-22 09:50:00,2025-12-22,09:50:00,2.072,2.105,2.072,2.089999,159133
CCO,2025-12-22 09:55:00,2025-12-22,09:55:00,2.095,2.099999,2.089999,2.099999,114745
CCO,2025-12-22 10:00:00,2025-12-22,10:00:00,2.089999,2.095,2.089999,2.095,15695
OCGN,2025-12-22 09:30:00,2025-12-22,09:30:00,1.37,1.419999,1.37,1.419999,274101
OCGN,2025-12-22 09:35:00,2025-12-22,09:35:00,1.414999,1.419999,1.412799,1.414999,25005
OCGN,2025-12-22 09:40:00,2025-12-22,09:40:00,1.414199,1.44,1.414199,1.44,168781
OCGN,2025-12-22 09:45:00,2025-12-22,09:45:00,1.44,1.445,1.419999,1.427299,22863
OCGN,2025-12-22 09:50:00,2025-12-22,09:50:00,1.424999,1.429999,1.411,1.419899,38063
OCGN,2025-12-22 09:55:00,2025-12-22,09:55:00,1.414999,1.419999,1.409999,1.409999,207126
OCGN,2025-12-22 10:00:00,2025-12-22,10:00:00,1.419999,1.429999,1.409999,1.424999,68957
CRWU,2025-12-22 09:30:00,2025-12-22,09:30:00,7.679999,7.960499,7.519999,7.92,380948
CRWU,2025-12-22 09:35:00,2025-12-22,09:35:00,7.92,7.92,7.63,7.699999,222947
CRWU,2025-12-22 09:40:00,2025-12-22,09:40:00,7.699999,7.699999,7.51,7.53,282555
CRWU,2025-12-22 09:45:00,2025-12-22,09:45:00,7.519999,7.739999,7.51,7.679999,264397
CRWU,2025-12-22 09:50:00,2025-12-22,09:50:00,7.699999,7.769999,7.614999,7.739999,200352
CRWU,2025-12-22 09:55:00,2025-12-22,09:55:00,7.719999,7.82,7.699999,7.73,129057
CRWU,2025-12-22 10:00:00,2025-12-22,10:00:00,7.719999,7.8,7.61,7.769999,94802
PRPH,2025-12-22 09:30:00,2025-12-22,09:30:00,1.129999,1.149999,0.913999,0.9268,740204
PRPH,2025-12-22 09:35:00,2025-12-22,09:35:00,0.9319,0.932699,0.92,0.922399,151399
PRPH,2025-12-22 09:40:00,2025-12-22,09:40:00,0.8251,0.85,0.8001,0.8478,208712
PRPH,2025-12-22 09:45:00,2025-12-22,09:45:00,0.8478,0.92,0.847699,0.91,129601
PRPH,2025-12-22 09:50:00,2025-12-22,09:50:00,0.91,0.953,0.9031,0.935,138271
PRPH,2025-12-22 09:55:00,2025-12-22,09:55:00,0.9311,0.949999,0.93,0.939999,111860
PRPH,2025-12-22 10:00:00,2025-12-22,10:00:00,0.939999,0.949999,0.87,0.937799,97185
SID,2025-12-22 09:30:00,2025-12-22,09:30:00,1.669999,1.669999,1.6627,1.664999,57426
SID,2025-12-22 09:35:00,2025-12-22,09:35:00,1.669999,1.669999,1.6611,1.661999,7321
SID,2025-12-22 09:40:00,2025-12-22,09:40:00,1.669999,1.674999,1.659999,1.674999,105599
SID,2025-12-22 09:45:00,2025-12-22,09:45:00,1.674999,1.679999,1.674999,1.679999,10442
SID,2025-12-22 09:50:00,2025-12-22,09:50:00,1.679999,1.679999,1.6705,1.679999,34816
SID,2025-12-22 09:55:00,2025-12-22,09:55:00,1.679999,1.679999,1.674999,1.6799,23113
SID,2025-12-22 10:00:00,2025-12-22,10:00:00,1.679999,1.686499,1.673599,1.684999,42664
LWLG,2025-12-22 09:30:00,2025-12-22,09:30:00,3.019999,3.089999,3.019999,3.059999,74061
LWLG,2025-12-22 09:35:00,2025-12-22,09:35:00,3.029999,3.049999,3.019999,3.020999,22904
LWLG,2025-12-22 09:40:00,2025-12-22,09:40:00,3.026,3.049999,3.015,3.049999,34135
LWLG,2025-12-22 09:45:00,2025-12-22,09:45:00,3.039999,3.049999,3.019999,3.035,23959
LWLG,2025-12-22 09:50:00,2025-12-22,09:50:00,3.039999,3.059999,3.025,3.055,38164
LWLG,2025-12-22 09:55:00,2025-12-22,09:55:00,3.049999,3.069999,3.049999,3.059999,29729
LWLG,2025-12-22 10:00:00,2025-12-22,10:00:00,3.062,3.079999,3.059999,3.075,44412
SES,2025-12-22 09:30:00,2025-12-22,09:30:00,1.95,1.95,1.889999,1.919199,489913
SES,2025-12-22 09:35:00,2025-12-22,09:35:00,1.919999,1.919999,1.8925,1.8997,151171
SES,2025-12-22 09:40:00,2025-12-22,09:40:00,1.899999,1.929999,1.899999,1.924999,144884
SES,2025-12-22 09:45:00,2025-12-22,09:45:00,1.929999,1.95,1.929999,1.945,126706
SES,2025-12-22 09:50:00,2025-12-22,09:50:00,1.944,1.9699,1.94,1.965,199453
SES,2025-12-22 09:55:00,2025-12-22,09:55:00,1.963999,1.97,1.955,1.96,35297
SES,2025-12-22 10:00:00,2025-12-22,10:00:00,1.963999,1.97,1.96,1.968,70988
BORR,2025-12-22 09:30:00,2025-12-22,09:30:00,3.95,4.039999,3.944999,4.01,214553
BORR,2025-12-22 09:35:00,2025-12-22,09:35:00,4.019999,4.0268,3.94,3.95,94291
BORR,2025-12-22 09:40:00,2025-12-22,09:40:00,3.96,4.014999,3.96,4.005,129763
BORR,2025-12-22 09:45:00,2025-12-22,09:45:00,4.005,4.014999,3.984999,3.994999,100539
BORR,2025-12-22 09:50:00,2025-12-22,09:50:00,3.994999,4.014999,3.9904,4.014999,30475
BORR,2025-12-22 09:55:00,2025-12-22,09:55:00,4.014999,4.065199,4.0144,4.059999,95771
BORR,2025-12-22 10:00:00,2025-12-22,10:00:00,4.054999,4.079999,4.045,4.05,68572
APLT,2025-12-22 09:30:00,2025-12-22,09:30:00,0.125,0.1259,0.123499,0.1243,317997
APLT,2025-12-22 09:35:00,2025-12-22,09:35:00,0.125,0.129899,0.125,0.1297,198242
APLT,2025-12-22 09:40:00,2025-12-22,09:40:00,0.1278,0.128299,0.127299,0.1279,104626
APLT,2025-12-22 09:45:00,2025-12-22,09:45:00,0.1288,0.131999,0.1288,0.129999,107560
APLT,2025-12-22 09:50:00,2025-12-22,09:50:00,0.129999,0.1303,0.1288,0.1288,4831
APLT,2025-12-22 09:55:00,2025-12-22,09:55:00,0.1288,0.129899,0.128199,0.128199,53498
APLT,2025-12-22 10:00:00,2025-12-22,10:00:00,0.128199,0.129999,0.128199,0.129299,26375
VSTS,2025-12-22 09:30:00,2025-12-22,09:30:00,6.84,7.120999,6.829999,7.119999,57307
VSTS,2025-12-22 09:35:00,2025-12-22,09:35:00,7.114999,7.175,7.065,7.076,21306
VSTS,2025-12-22 09:40:00,2025-12-22,09:40:00,7.05,7.07,7.019999,7.07,14879
VSTS,2025-12-22 09:45:00,2025-12-22,09:45:00,7.079999,7.11,7.074999,7.11,9728
VSTS,2025-12-22 09:50:00,2025-12-22,09:50:00,7.11,7.15,7.11,7.139999,13315
VSTS,2025-12-22 09:55:00,2025-12-22,09:55:00,7.139999,7.199999,7.139999,7.164999,38283
VSTS,2025-12-22 10:00:00,2025-12-22,10:00:00,7.17,7.184999,7.144999,7.144999,24316
PSEC,2025-12-22 09:30:00,2025-12-22,09:30:00,2.47,2.48,2.46,2.473299,355643
PSEC,2025-12-22 09:35:00,2025-12-22,09:35:00,2.474999,2.474999,2.4732,2.4732,20234
PSEC,2025-12-22 09:40:00,2025-12-22,09:40:00,2.471499,2.48,2.471199,2.474999,45706
PSEC,2025-12-22 09:45:00,2025-12-22,09:45:00,2.4788,2.49,2.470099,2.482,80690
PSEC,2025-12-22 09:50:00,2025-12-22,09:50:00,2.484999,2.49,2.480999,2.4825,43342
PSEC,2025-12-22 09:55:00,2025-12-22,09:55:00,2.49,2.5,2.48,2.49,85710
PSEC,2025-12-22 10:00:00,2025-12-22,10:00:00,2.494999,2.498899,2.480099,2.49,119188
TRON,2025-12-22 09:30:00,2025-12-22,09:30:00,1.49,1.519999,1.49,1.4901,67992
TRON,2025-12-22 09:35:00,2025-12-22,09:35:00,1.49,1.5,1.49,1.49,16972
TRON,2025-12-22 09:40:00,2025-12-22,09:40:00,1.49,1.5,1.49,1.49,41448
TRON,2025-12-22 09:45:00,2025-12-22,09:45:00,1.4901,1.499899,1.49,1.491,45115
TRON,2025-12-22 09:50:00,2025-12-22,09:50:00,1.49,1.5,1.47,1.475,62191
TRON,2025-12-22 09:55:00,2025-12-22,09:55:00,1.475,1.495,1.47,1.48,67064
TRON,2025-12-22 10:00:00,2025-12-22,10:00:00,1.485,1.508,1.48,1.508,64542
GOGO,2025-12-22 09:30:00,2025-12-22,09:30:00,4.57,4.645999,4.55,4.639999,42957
GOGO,2025-12-22 09:35:00,2025-12-22,09:35:00,4.636,4.659999,4.61,4.614999,15536
GOGO,2025-12-22 09:40:00,2025-12-22,09:40:00,4.616,4.63,4.609,4.619999,8739
GOGO,2025-12-22 09:45:00,2025-12-22,09:45:00,4.625999,4.710999,4.625,4.71,22495
GOGO,2025-12-22 09:50:00,2025-12-22,09:50:00,4.716,4.75,4.695,4.75,27681
GOGO,2025-12-22 09:55:00,2025-12-22,09:55:00,4.741,4.76,4.741,4.755,11886
GOGO,2025-12-22 10:00:00,2025-12-22,10:00:00,4.756,4.8,4.73,4.765999,47555
OPTT,2025-12-22 09:30:00,2025-12-22,09:30:00,0.3792,0.379799,0.361999,0.36855,454872
OPTT,2025-12-22 09:35:00,2025-12-22,09:35:00,0.37,0.373755,0.366499,0.368299,60777
OPTT,2025-12-22 09:40:00,2025-12-22,09:40:00,0.369049,0.371399,0.368099,0.369899,39135
OPTT,2025-12-22 09:45:00,2025-12-22,09:45:00,0.369949,0.37,0.3688,0.3688,86028
OPTT,2025-12-22 09:50:00,2025-12-22,09:50:00,0.3693,0.370799,0.3688,0.370499,145104
OPTT,2025-12-22 09:55:00,2025-12-22,09:55:00,0.371399,0.374799,0.3709,0.373199,63180
OPTT,2025-12-22 10:00:00,2025-12-22,10:00:00,0.373299,0.3736,0.3697,0.3698,91186
KULR,2025-12-22 09:30:00,2025-12-22,09:30:00,3.299999,3.519999,3.285,3.49,444096
KULR,2025-12-22 09:35:00,2025-12-22,09:35:00,3.4986,3.5,3.43,3.430099,62664
KULR,2025-12-22 09:40:00,2025-12-22,09:40:00,3.441299,3.619999,3.44,3.549999,170454
KULR,2025-12-22 09:45:00,2025-12-22,09:45:00,3.549999,3.589999,3.5,3.508699,84964
KULR,2025-12-22 09:50:00,2025-12-22,09:50:00,3.509999,3.539999,3.5048,3.529999,52446
KULR,2025-12-22 09:55:00,2025-12-22,09:55:00,3.539999,3.579999,3.539999,3.565,53635
KULR,2025-12-22 10:00:00,2025-12-22,10:00:00,3.569999,3.619999,3.561899,3.599999,51292
