symbol,date,match_score,match_name,entry_price,day_high,day_low,day_close,max_gain,max_loss,final_change,is_win
OPEN,2025-12-24,61.11319181917421,MVIS,6.19,6.296,6.119999,6.269899,1.712439418416799,1.1308723747980682,1.2907754442649317,False
GRAB,2025-12-01,63.5741030144132,IOBT,5.355,5.369999,5.25,5.264999,0.28009337068159734,1.960784313725498,-1.680690943043884,False
GRAB,2025-12-08,59.52647921037812,CCL,5.224999,5.264999,5.11,5.164999,0.7655503857512705,2.2009382202752588,-1.1483255786269144,False
GRAB,2025-12-12,64.17883983910272,CCL,5.224999,5.269999,5.11,5.164999,0.8612441839701773,2.2009382202752588,-1.1483255786269144,False
GRAB,2025-12-16,52.538626995506036,VIVK,5.005,5.05,4.92,4.94,0.8991008991008976,1.6983016983016976,-1.2987012987012887,False
GRAB,2025-12-18,63.06747054033243,MVIS,4.938399,4.969999,4.889999,4.925,0.639883492605583,0.9800747165225004,-0.2713227505513549,False
GRAB,2025-12-19,50.54625800560117,Benf,4.9801,5.03,4.909999,4.934999,1.0019879118893205,1.4076223369008691,-0.9056243850525056,False
GRAB,2025-12-22,72.86671935726436,VIVK,5.241199,5.28,5.05,5.19,0.7403077044012316,3.648001153934436,-0.9768566314692411,False
LCID,2025-12-02,57.41350964087916,IOBT,12.914999,13.149999,12.609999,12.885,1.8195897653573139,2.361595227378645,-0.2322803122168272,False
LCID,2025-12-03,72.30075640966622,VIVK,13.189999,13.649999,12.67,13.574999,3.487490787527725,3.942373308747031,2.9188781591264696,True
LCID,2025-12-10,54.51018244431038,IOBT,12.5305,13.329999,12.27,12.984999,6.3804237660109395,2.078927417102274,3.627141774071268,True
LCID,2025-12-12,65.18173790775272,CCL,13.150799,13.2114,12.539999,12.569999,0.46081610706695564,4.6445847130657185,-4.4164616917953055,False
LCID,2025-12-18,69.1464478863901,MVIS,11.854999,11.978199,11.27,11.46,1.0392240437979003,4.934618720760751,-3.3319193025659346,False
LCID,2025-12-19,57.518190068163925,CCL,11.47,12.045,11.374199,11.8,5.013077593722748,0.8352310374891002,2.8770706190061035,True
LCID,2025-12-22,61.777006941648374,VIVK,12.399999,12.595,11.829999,12.289999,1.5725888364991103,4.596774564256002,-0.887096845733612,False
RIVN,2025-12-01,61.0695272996511,CCL,17.402599,17.79,16.511999,17.159999,2.226110019543636,5.117626395919364,-1.3940446481585853,True
RIVN,2025-12-02,68.24581923305679,IOBT,17.295,17.665,17.0412,17.215,2.139346631974544,1.4674761491760728,-0.46256143394045585,True
RIVN,2025-12-03,52.56841259707419,VIVK,17.209999,17.899999,16.899999,17.51,4.009297153358355,1.80127843121896,1.7431784859487889,True
RIVN,2025-12-04,62.58625994448309,CCL,17.8101,18.17,17.37,18.069999,2.0207634993627392,2.4710697862448696,1.4592787238701679,True
RIVN,2025-12-05,59.16532285242175,VIVK,18.310899,18.6,17.909999,17.94,1.5788465656437858,2.1894064294713225,-2.025564118943575,False
RIVN,2025-12-08,61.15332868714754,IOBT,17.604999,17.709999,17.04,17.62,0.5964215050509257,3.2093100374501597,0.08520875235495098,False
RIVN,2025-12-09,56.77009617435738,MVIS,17.6145,17.795,17.3701,17.719999,1.0247239490192859,1.3874932583950657,0.5989326974935525,False
RIVN,2025-12-10,76.45196950781155,VIVK,18.204999,18.409999,17.454999,17.469999,1.1260643299128898,4.119747548461826,-4.037352597492586,False
RIVN,2025-12-12,72.77892591526088,MVIS,19.174999,19.6,16.729999,18.399999,2.2164329708700468,12.750978500702923,-4.041721201654293,True
RIVN,2025-12-15,61.383569532463895,CCL,18.9326,19.579999,18.37,18.684999,3.4194933606583358,2.9715939701889846,-1.3078024148822638,True
RIVN,2025-12-16,61.24814555848416,VIVK,18.819999,18.969999,17.639999,17.902599,0.7970244844327682,6.269925944204354,-4.874601746790744,False
RIVN,2025-12-18,65.446967623178,CCL,19.065,20.329999,18.28,20.29,6.635190138998161,4.117492787831105,6.425386834513495,True
RIVN,2025-12-19,61.83117863887795,Benf,21.2593,22.639999,20.309999,22.42,6.4945647316703745,4.465344578607943,5.45972821306441,True
RIVN,2025-12-22,60.87775227997745,CCL,22.245,22.69,21.625,21.735,2.0004495392222985,2.7871431782423057,-2.2926500337154487,True
NIO,2025-12-08,70.12310504984794,MVIS,5.144999,5.23,5.019999,5.099999,1.6521091646470698,2.429543718084299,-0.8746357385103462,False
NIO,2025-12-12,76.81205419769303,CCL,5.244999,5.26,5.014999,5.019999,0.2860057742622986,4.385129530053286,-4.289800627226042,False
NIO,2025-12-17,55.45290405285329,MVIS,5.034999,5.059999,4.849999,4.864999,0.49652442830674554,3.674280769469857,-3.37636611248582,False
NIO,2025-12-18,55.38452529960987,MVIS,4.958199,5.01,4.92,4.925,1.0447543553616991,0.7704208725789274,-0.6695778043600057,False
NIO,2025-12-19,58.597139800279024,MVIS,5.004199,5.03,4.98,4.985,0.5155870100289858,0.48357389464326694,-0.38365780417604345,False
NIO,2025-12-24,60.77771361325796,MVIS,4.894999,4.929999,4.88,4.905,0.7150154678274552,0.30641477148412954,0.20431056267835654,False
XPEV,2025-12-08,55.15560517557903,IOBT,20.11,20.579999,19.836999,20.52,2.337140726006969,1.3575385380407792,2.038786673296868,True
XPEV,2025-12-10,51.935871456732286,VIVK,19.834499,19.899999,19.569999,19.665,0.3302326920382517,1.3335350693758472,-0.8545665811876663,False
XPEV,2025-12-16,53.86253723624852,Benf,18.61,18.694999,18.325,18.475,0.45673831273508775,1.5314347125201513,-0.7254164427726922,False
XPEV,2025-12-17,64.00874621949558,CCL,18.549999,18.725,17.92,18.094999,0.943401668107916,3.3962212073434506,-2.4528303209072857,False
XPEV,2025-12-19,68.72507214231318,CCL,19.844999,20.1,19.61,19.864999,1.284963531618218,1.1841723952719874,0.10078105824041397,False
XPEV,2025-12-24,55.3942540950834,MVIS,19.61,19.735,19.5,19.54,0.6374298827129016,0.5609382967873505,-0.35696073431922637,False
LI,2025-12-08,55.683469397347444,VIVK,17.844999,18.034999,17.719999,17.944999,1.0647240719934907,0.7004763631536207,0.5603810905228847,False
LI,2025-12-11,55.01161947034626,MVIS,16.93,17.04,16.77,17.01,0.6497341996455962,0.9450679267572365,0.47253396337862874,False
LI,2025-12-12,65.09428364860783,MVIS,17.43,17.45,17.04,17.079999,0.11474469305794363,2.2375215146299516,-2.008037865748703,False
LI,2025-12-19,63.80717617375765,MVIS,16.86,17.17,16.694999,16.989999,1.8386714116251617,0.9786536180308434,0.771049822064066,False
LI,2025-12-22,55.271826960316275,CCL,17.049999,17.11,16.92,16.969999,0.35191204410041166,0.7624575227247695,-0.46920823866322986,False
LI,2025-12-24,68.77272532614474,MVIS,16.715,16.79,16.68,16.78,0.44869877355668136,0.20939276099312082,0.38887227041580186,False
WKHS,2025-12-01,55.87412384710016,CCL,0.8802,0.889999,0.822799,0.8287,1.113269711429221,6.521358782094983,-5.850942967507384,False
WKHS,2025-12-03,71.8208810499377,CCL,0.837599,0.899999,0.81,0.8988,7.449865627824294,3.295013484973111,7.306718370007613,True
WKHS,2025-12-10,57.6086691808276,IOBT,6.945,7.13,6.386199,6.534999,2.6637868970482304,8.046090712742979,-5.903542116630674,True
WKHS,2025-12-12,62.45076116108752,MVIS,6.699999,6.769999,6.100699,6.469999,1.044776275339747,8.944777454444402,-3.4328363332591607,False
WKHS,2025-12-16,53.41182906475836,CCL,5.9299,5.938399,5.402299,5.7101,0.14332450800182936,8.89730012310494,-3.7066392350629895,False
WKHS,2025-12-18,50.55879239345026,CCL,5.490399,5.719999,5.23,5.23,4.181845436005646,4.742806488198756,-4.742806488198756,True
WKHS,2025-12-22,56.04833548376054,MVIS,5.599999,6.0,5.4,5.599999,7.142876275513613,3.571411352037742,0.0,True
FCEL,2025-12-02,61.07692053977279,IOBT,6.63,7.019999,6.364999,6.92,5.882337858220218,3.996998491704371,4.374057315233786,True
FCEL,2025-12-05,64.58697602892435,CCL,8.343999,8.819999,7.969999,8.369999,5.704698670265889,4.4822632409232135,0.3116011878716644,True
FCEL,2025-12-11,61.657055638702936,CCL,8.335,8.81,8.279999,8.75,5.698860227954404,0.6598800239952098,4.9790041991601575,True
FCEL,2025-12-12,53.64419915686128,VIVK,8.88,8.93,8.5,8.76,0.563063063063051,4.2792792792792875,-1.3513513513513624,False
FCEL,2025-12-16,58.32663751746255,VIVK,8.574999,8.895,8.189999,8.46,3.7317905226577817,4.489796441958767,-1.3410963663086046,True
FCEL,2025-12-17,70.47102596226294,CCL,8.659999,8.75,7.735,7.86,1.039272637329414,10.681282988600795,-9.237864808067517,False
FCEL,2025-12-22,64.51958858692375,CCL,8.55,9.085,8.229999,8.75,6.257309941520468,3.7427017543859797,2.339181286549699,True
