symbol,datetime,date,time,open,high,low,close,volume
PGEN,2025-12-22 09:45:00,2025-12-22,09:45:00,4.38,4.405,4.3343,4.34,68596
PGEN,2025-12-22 09:50:00,2025-12-22,09:50:00,4.34,4.340099,4.2725,4.304999,59212
PGEN,2025-12-22 09:55:00,2025-12-22,09:55:00,4.309999,4.329999,4.25,4.25,54323
PGEN,2025-12-22 10:00:00,2025-12-22,10:00:00,4.26,4.32,4.244999,4.309999,77597
NAK,2025-12-22 09:30:00,2025-12-22,09:30:00,2.269999,2.295,2.243599,2.295,377171
NAK,2025-12-22 09:35:00,2025-12-22,09:35:00,2.291199,2.329999,2.291199,2.325,216555
NAK,2025-12-22 09:40:00,2025-12-22,09:40:00,2.325,2.41,2.319999,2.400099,656535
NAK,2025-12-22 09:45:00,2025-12-22,09:45:00,2.4072,2.43,2.4,2.414999,378752
NAK,2025-12-22 09:50:00,2025-12-22,09:50:00,2.414999,2.44,2.401,2.424999,417613
NAK,2025-12-22 09:55:00,2025-12-22,09:55:00,2.42,2.43,2.3803,2.384399,230224
NAK,2025-12-22 10:00:00,2025-12-22,10:00:00,2.39,2.41,2.381099,2.381099,200455
NXE,2025-12-22 09:30:00,2025-12-22,09:30:00,9.359999,9.359999,9.189999,9.3,369895
NXE,2025-12-22 09:35:00,2025-12-22,09:35:00,9.31,9.3969,9.279999,9.329999,120519
NXE,2025-12-22 09:40:00,2025-12-22,09:40:00,9.335,9.34,9.26,9.289999,120239
NXE,2025-12-22 09:45:00,2025-12-22,09:45:00,9.289999,9.359999,9.289999,9.345,87224
NXE,2025-12-22 09:50:00,2025-12-22,09:50:00,9.34,9.43,9.324999,9.43,115441
NXE,2025-12-22 09:55:00,2025-12-22,09:55:00,9.43,9.473799,9.39,9.409999,107179
NXE,2025-12-22 10:00:00,2025-12-22,10:00:00,9.409999,9.435,9.38,9.399999,139144
VZLA,2025-12-22 09:30:00,2025-12-22,09:30:00,5.554999,5.579999,5.46,5.579999,563184
VZLA,2025-12-22 09:35:00,2025-12-22,09:35:00,5.579999,5.59,5.514999,5.554999,165775
VZLA,2025-12-22 09:40:00,2025-12-22,09:40:00,5.554999,5.599999,5.55,5.585,219931
VZLA,2025-12-22 09:45:00,2025-12-22,09:45:00,5.585,5.59,5.545,5.545,119972
VZLA,2025-12-22 09:50:00,2025-12-22,09:50:00,5.545,5.57,5.534999,5.554999,140283
VZLA,2025-12-22 09:55:00,2025-12-22,09:55:00,5.55,5.57,5.525,5.534999,90278
VZLA,2025-12-22 10:00:00,2025-12-22,10:00:00,5.53,5.559999,5.514999,5.518599,104892
GOVX,2025-12-22 09:30:00,2025-12-22,09:30:00,0.1638,0.167799,0.163,0.167199,854077
GOVX,2025-12-22 09:35:00,2025-12-22,09:35:00,0.167199,0.1825,0.167199,0.1825,254821
GOVX,2025-12-22 09:40:00,2025-12-22,09:40:00,0.1849,0.185,0.164,0.164,493309
GOVX,2025-12-22 09:45:00,2025-12-22,09:45:00,0.162599,0.162599,0.159299,0.159799,172260
GOVX,2025-12-22 09:50:00,2025-12-22,09:50:00,0.159799,0.163599,0.159799,0.163,60482
GOVX,2025-12-22 09:55:00,2025-12-22,09:55:00,0.163,0.169799,0.1624,0.168999,262857
GOVX,2025-12-22 10:00:00,2025-12-22,10:00:00,0.168999,0.170499,0.1684,0.17,713190
CRCG,2025-12-22 09:30:00,2025-12-22,09:30:00,3.2,3.4,3.17,3.325099,1232120
CRCG,2025-12-22 09:35:00,2025-12-22,09:35:00,3.4,3.400199,3.339999,3.339999,298397
CRCG,2025-12-22 09:40:00,2025-12-22,09:40:00,3.319999,3.339999,3.265,3.278599,200664
CRCG,2025-12-22 09:45:00,2025-12-22,09:45:00,3.2799,3.384999,3.275,3.345,214921
CRCG,2025-12-22 09:50:00,2025-12-22,09:50:00,3.346899,3.346899,3.269999,3.309299,73052
CRCG,2025-12-22 09:55:00,2025-12-22,09:55:00,3.309999,3.3299,3.256,3.256,150421
CRCG,2025-12-22 10:00:00,2025-12-22,10:00:00,3.255,3.295,3.2502,3.285,1571234
UA,2025-12-22 09:30:00,2025-12-22,09:30:00,4.349999,4.42,4.34,4.394999,396929
UA,2025-12-22 09:35:00,2025-12-22,09:35:00,4.394999,4.414999,4.380099,4.385,88234
UA,2025-12-22 09:40:00,2025-12-22,09:40:00,4.385,4.409999,4.3793,4.405499,152997
UA,2025-12-22 09:45:00,2025-12-22,09:45:00,4.405,4.429999,4.403999,4.425,100189
UA,2025-12-22 09:50:00,2025-12-22,09:50:00,4.423999,4.439899,4.364999,4.369999,225103
UA,2025-12-22 09:55:00,2025-12-22,09:55:00,4.374,4.389999,4.36,4.364999,99700
UA,2025-12-22 10:00:00,2025-12-22,10:00:00,4.364999,4.369999,4.36,4.364999,29932
RENX,2025-12-22 09:30:00,2025-12-22,09:30:00,0.2714,0.2714,0.2646,0.264699,753415
RENX,2025-12-22 09:35:00,2025-12-22,09:35:00,0.264699,0.267899,0.264699,0.2648,31967
RENX,2025-12-22 09:40:00,2025-12-22,09:40:00,0.2673,0.2673,0.2653,0.2655,52735
RENX,2025-12-22 09:45:00,2025-12-22,09:45:00,0.265399,0.2655,0.2653,0.265399,53535
RENX,2025-12-22 09:50:00,2025-12-22,09:50:00,0.265399,0.265399,0.2653,0.2653,1448764
RENX,2025-12-22 09:55:00,2025-12-22,09:55:00,0.2653,0.2721,0.2603,0.271899,99591
RENX,2025-12-22 10:00:00,2025-12-22,10:00:00,0.271899,0.271899,0.260899,0.2664,95103
BFLY,2025-12-22 09:30:00,2025-12-22,09:30:00,3.65,3.819999,3.625,3.819999,406621
BFLY,2025-12-22 09:35:00,2025-12-22,09:35:00,3.805,3.94,3.799999,3.835,607008
BFLY,2025-12-22 09:40:00,2025-12-22,09:40:00,3.832099,3.89,3.769999,3.841099,273696
BFLY,2025-12-22 09:45:00,2025-12-22,09:45:00,3.839999,3.849999,3.759999,3.769999,111257
BFLY,2025-12-22 09:50:00,2025-12-22,09:50:00,3.769999,3.788899,3.68,3.697299,205125
BFLY,2025-12-22 09:55:00,2025-12-22,09:55:00,3.69,3.74,3.6802,3.71,119013
BFLY,2025-12-22 10:00:00,2025-12-22,10:00:00,3.704999,3.74,3.694999,3.714999,153809
IAUX,2025-12-22 09:30:00,2025-12-22,09:30:00,1.59,1.6,1.540099,1.540099,1077827
IAUX,2025-12-22 09:35:00,2025-12-22,09:35:00,1.544999,1.57,1.544999,1.563699,204206
IAUX,2025-12-22 09:40:00,2025-12-22,09:40:00,1.552299,1.5799,1.552299,1.57,56842
IAUX,2025-12-22 09:45:00,2025-12-22,09:45:00,1.5699,1.586699,1.559999,1.565,134621
IAUX,2025-12-22 09:50:00,2025-12-22,09:50:00,1.565,1.575,1.559999,1.565,75367
IAUX,2025-12-22 09:55:00,2025-12-22,09:55:00,1.565,1.565,1.550999,1.554999,102752
IAUX,2025-12-22 10:00:00,2025-12-22,10:00:00,1.554999,1.567499,1.549999,1.549999,157161
PTEN,2025-12-22 09:30:00,2025-12-22,09:30:00,5.889999,6.07,5.88,6.059999,166775
PTEN,2025-12-22 09:35:00,2025-12-22,09:35:00,6.053999,6.07,5.969999,5.989999,77426
PTEN,2025-12-22 09:40:00,2025-12-22,09:40:00,5.989999,6.014999,5.989999,5.994999,125096
PTEN,2025-12-22 09:45:00,2025-12-22,09:45:00,5.994999,6.01,5.969999,5.969999,27710
PTEN,2025-12-22 09:50:00,2025-12-22,09:50:00,5.98,6.014999,5.98,6.01,29835
PTEN,2025-12-22 09:55:00,2025-12-22,09:55:00,6.01,6.025,5.974999,5.985,169949
PTEN,2025-12-22 10:00:00,2025-12-22,10:00:00,5.985,5.985,5.965,5.974999,29153
PALI,2025-12-22 09:30:00,2025-12-22,09:30:00,1.98,1.98,1.95,1.96,776458
PALI,2025-12-22 09:35:00,2025-12-22,09:35:00,1.952399,1.96,1.929999,1.929999,200354
PALI,2025-12-22 09:40:00,2025-12-22,09:40:00,1.94,2.029999,1.934999,2.027699,300255
PALI,2025-12-22 09:45:00,2025-12-22,09:45:00,2.028199,2.082499,2.028199,2.039999,239880
PALI,2025-12-22 09:50:00,2025-12-22,09:50:00,2.035,2.049999,2.019999,2.045,90001
PALI,2025-12-22 09:55:00,2025-12-22,09:55:00,2.045,2.059999,2.0144,2.015,93693
PALI,2025-12-22 10:00:00,2025-12-22,10:00:00,2.015,2.019999,1.995,2.005599,202562
ENVX,2025-12-22 09:30:00,2025-12-22,09:30:00,8.0,8.13,7.970099,8.0,226184
ENVX,2025-12-22 09:35:00,2025-12-22,09:35:00,8.01,8.039999,7.929999,7.94,66869
ENVX,2025-12-22 09:40:00,2025-12-22,09:40:00,7.929999,8.029999,7.92,8.004599,27795
ENVX,2025-12-22 09:45:00,2025-12-22,09:45:00,8.005,8.06,8.005,8.029999,25558
ENVX,2025-12-22 09:50:00,2025-12-22,09:50:00,8.0312,8.097399,8.0086,8.095,58060
ENVX,2025-12-22 09:55:00,2025-12-22,09:55:00,8.095,8.119999,8.069999,8.079999,68678
ENVX,2025-12-22 10:00:00,2025-12-22,10:00:00,8.079999,8.114999,8.06,8.1,69610
CCC,2025-12-22 09:30:00,2025-12-22,09:30:00,7.914999,7.989999,7.9,7.98,105542
CCC,2025-12-22 09:35:00,2025-12-22,09:35:00,7.98,7.9889,7.98,7.984,10848
CCC,2025-12-22 09:40:00,2025-12-22,09:40:00,7.985,8.0,7.985,7.994999,13673
CCC,2025-12-22 09:45:00,2025-12-22,09:45:00,7.994999,8.0,7.974999,7.985,40888
CCC,2025-12-22 09:50:00,2025-12-22,09:50:00,7.985,7.985,7.98,7.985,67156
CCC,2025-12-22 09:55:00,2025-12-22,09:55:00,7.9839,7.994999,7.974999,7.974999,85608
CCC,2025-12-22 10:00:00,2025-12-22,10:00:00,7.974999,8.02,7.969999,7.989999,33937
ALT,2025-12-22 09:30:00,2025-12-22,09:30:00,3.96,4.099999,3.95,4.085,382113
ALT,2025-12-22 09:35:00,2025-12-22,09:35:00,4.07,4.13,4.03,4.114999,149511
ALT,2025-12-22 09:40:00,2025-12-22,09:40:00,4.11,4.28,4.099999,4.23,430664
